ID	SENTENCE	INDEX	LEN
2017_883274	همچنین در سال گذشته یک میلیارد و 800 میلیون دلار صادرات ثبت شده که نسبت به سال گذشته 8 درصد افزایش داشته است.	112.190476190476	21
2015_400639	تيم من هم اين قدرت دارد که نتيجه ديدار روز شنبه را از آن خود کند.	112.625	16
2016_2300	۱ درصد بوده است كه از آن زمان با افزايش ماه به ماه به ۲۵ درصد رسيده است.	112.6875	16
2019_810371	می کنند این انتخابات یک سال پس از شکست برگزار می شود که در پی از دست.	112.941176470588	17
2017_240342	با این حال وی به عنوان نفر اول انتخابات تهران به مجلس اسلامی راه یافت.	113.066666666667	15
2019_359521	تهران-ایرنا- رئیس جمهوری در سال گذشته 12 سفر به 10 کشور از مناطق مختلف جهان انجام داد.	113.1875	16
2019_230445	بر اساس این گزارش تولید خودرو ایران در این سال با رشد بیش از 18 درصد نسبت به سال قبل آن به یک میلیون و 418 هزار و 550 دستگاه رسید.	113.535714285714	28
2017_162663	این میزان از ۱۱۶ هزار و ۱۰۱ نفر در سال ۹۴ به ۶۸ هزار و ۴۲ نفر سال ۹۵ کاهش یافته است.	113.5625	16
2016_212000	اين در حالی است که پيش از اين، قرار بود پرداخت ها هر هفت سال يک بار انجام شود.	113.578947368421	19
2017_88331	‏‎ اگر با نظام هستند و آن را قبول دارند، نظام که دارد کار خود را انجام مي دهد.	113.722222222222	18
2016_7013	۳ ميليون تن نفت از ايران وارد کرده است که نسبت به سال مالی قبل از آن ۲۶.	113.875	16
2019_928486	وی افزود: در امور سلامت بیش از ۲۲ هزار و ۷۰۰ میلیارد تومان منابع برای آن در نظر گرفته شده است.	114.947368421053	19
2019_969451	وزیر خارجه آمریکا روز سه شنبه سفر خود را به منطقه آغاز کرده و به مدت یک هفته ادامه خواهد داشت.	115.52380952381	21
2015_351514	به ویژه اینکه در آن سال قرار بود برای بار اول کار کنیم که یک رئیس جمهور تنها چهار سال در دولت باشد.	115.608695652174	23
2019_151106	این کار برای این کشور خوب است، برای آنها خوب است، برای ما خوب است و برای جهان خوب است.	115.7	20
2015_498891	در حال حاضر هم 800 سال به جمهوری اسلامی ایران رسیده که باید به آنها پاسخ داده شود.	115.705882352941	17
2016_158566	این کشور 7/319میلیارد دلار است که 6/1درصد آن در بخش کشاورزی، 4/30درصد در بخش صنعت و 3/67درصد در بخش خدمات تولید می‌شود.	115.863636363636	22
2015_177998	او در عراق با رئیس جمهوری، نخست وزیر و رئیس مجلس عراق نیز دیدار می کند.	116.5625	16
2016_604156	رييس جمهوری آمريکا گفت که ايران اين افراد را در آب های عراق بازداشت کرده است.	116.9375	16
2016_271146	بر اساس اين گزارش، در سال ۱۳۸۴ قيمت هر دلار به ۹۰۴ تومان رسيد که در سال ۱۳۸۵ به ۹۲۲، سال ۱۳۸۶ به ۹۳۵ و در سال ۱۳۸۷ به ۹۶۶ تومان رسيد.	117.416666666667	24
2016_270807	بر اساس اين قانون، انتخابات به جای چند روز بايد فقط در يک روز برگزار شود.	118.25	16
2015_81418	اکنون که اين حوزه در حال رشد است، بر همين اساس نيز بايد نظارت بر آن رشد کند.	119.166666666667	18
2017_543074	در مجلس حدود دو سال روی آن کار شد اما همان زمان یک مشکل داشت.	119.266666666667	15
2019_131278	انتخابات یک بار برای انتخاب ۱۵۵ عضو این دو مجلس برای مدت چهار سال برگزار می‌شود.	119.933333333333	15
2011_789383	صادرات نفت اين کشور از سال 1961 آغاز و قانون ملي شدن نفت از سال 1965 اجرا شد.	120.3125	16
2017_146168	آنچه در انتخابات بسيار مهم است، حضور عمومی مردم است، همه بايد در انتخابات شرکت کنند..	120.625	16
2019_7318	۴درصد و ۲۹ درصد با نرخ ۱۴ هزار و ۴۵ تومان، ۸ هزار و۶۵۱ تومان، ۵ هزار و ۴۰۴ تومان و ۴ هزار و ۲۲۸ تومان به فروش رسیده است.	121.772727272727	22
2017_11722	۶ درصد از جامعه است که اين افراد در هفته کمتر از ‌۴۶ ساعت کار می‌کنند و با اين وجود ‌۴۸.	121.833333333333	18
2019_9546	۵ میلیون دلار بوده که این رقم در سال های گذشته ۳۰ تا ۴۰ میلیون دلار بوده است.	122	15
2015_177437	"او در جلسه اي که چند روز پس از آغاز جنگ برگزار شد، در اشاره به اين حمله گفت: ""اين کار اسرائيل است."""	122.347826086957	23
2015_630639	شرکت دلیل این امر را افزایش تولید از 12هزار تن به 45هزار تن عنوان کرده است.	122.4375	16
2017_71386	اعتراض ها, هم در داخل کشور و هم در خارج کشور, وجود داشته و دارد.	122.533333333333	15
2017_942345	وی در آن زمان 26 سال داشت و اکنون چهار سال است که در زندان به سر می برد.	122.722222222222	18
2019_94621	البته این روند فقط مربوط به این موضوع نیست و در گذشته هم بوده است.	122.733333333333	15
2019_525513	رشد اقتصادی سال 95 که از سوی مرکز آمار ایران اعلام شده بود رشد اقتصادی با نفت11.1 و بدون نفت 6.4 درصد بود.	122.904761904762	21
2015_225365	با این حال هنوز به بازار عرضه نشده و قیمت آن هم اعلام نشده است.	123.066666666667	15
2017_726780	کشور ما همين مردم هستند و اين مردم هستند که کشور را حفظ کرده‌اند و از اين به بعد نيز حفظ می‌کنند.	123.090909090909	22
2015_352057	بودجه خود این بانک در این مورد از ۴۱۵ میلیون دلار در سال ۲۰۰۴ به ۹۱۵ میلیون دلار در سال گذشته رسیده است.	123.65	20
2015_868408	همچنین در سال های 91 و 92 تولید خودرو به 700 هزار رسید و 50 درصد نسبت به سال 90 کاهش پیدا کرد و این کاهش تا 6 ماه نخست سال گذشته ادامه داشت.	123.821428571429	28
