ID	SENTENCE	INDEX	LEN
2011_500766	Es wird eine Zeit kommen, natürlich wird sie das, wenn er nicht mehr da ist.	65.9333333333333	15
2011_202227	Das sind über ein Dollar mehr als im vergangenen Jahr.	66	10
2015_874903	Vor einem Jahr waren es noch 579 Euro – 140 Euro mehr als derzeit.	66.1818181818182	11
2014_16399	Aber so sicher ist es auch dort nicht mehr wie auch schon.	66.4166666666667	12
2013_872799	Und es ist ja nun nicht so, dass es diese nicht geben würde.	66.7692307692308	13
2013_916750	Waren es vor drei Jahren noch 100 Kinder, sind es bis heute schon 350. Und es werden immer mehr.	66.8823529411765	17
2011_499808	Es war nicht seine Macht und auch nicht sein Geld.	66.9	10
2015_911770	Wie auch immer, das ist alles hätte, wenn und aber.	66.9	10
2012_6289	Ja,wenn es denn so sein soll,so soll es denn so sein.	66.9230769230769	13
2011_514586	"Frage: ""Wenn es nicht 100 Prozent sind, wie viel sind es dann?"	67	11
2011_293125	Deutschland hat sich schon viel zu lange von den Euro-	67.1	10
2013_492206	«Es ist nicht immer alles einfach, aber so ist es nun mal».	67.1666666666667	12
2011_12716	Aber es war schon immer so und wird auch immer so bleiben.	67.5833333333333	12
2013_874517	"Und ich war erst 34, so dass die ""will ich noch Kinder?"""	67.8181818181818	11
2014_80822	Auf dem Land ist das ja so aber in einer Stadt.	68.0909090909091	11
2014_210535	Das war schon immer so und wird auch so bleiben.	68.3	10
2015_847913	Uns geht es so gut, doch sie haben nicht viel.	68.5	10
2013_832785	So war es schon immer, und so wird es bleiben.	69.2	10
2015_379864	Die Welt ist gut, die Menschen,die in ihr leben nicht so sehr.	69.2307692307692	13
2013_232732	Denn mit 33 hat man nicht mehr alle Zeit der Welt.	69.7	10
2012_944840	Wie auch: wir und sie müssen alle von etwas leben.	70	10
2013_21522	"Ab und zu wird er dann auch mal sehr deutlich!"""	70	10
2014_12466	Aber es geht nicht nur um Geld, sondern auch um Können.	70.0909090909091	11
2014_175746	Das geht aber nicht vom einen auf den anderen Tag.	70.2	10
2012_663946	«Es kann sein, dass der eine oder andere nicht spielen wird.	70.2727272727273	11
